condominio;bloco;mesano;id_morador;conta;descricao;apto;leitura_inicial;leitura_final;dt_leitura;valorM3
2;2;092023;7;3;gas;201;35,919;36,779;05/09/2023;20,25
2;2;092023;2;3;gas;202;244,336;244,336;05/09/2023;20,25
2;2;092023;1;3;gas;301;519,892;523,703;05/09/2023;20,25
2;2;092023;3;3;gas;302;26,974;28,119;05/09/2023;20,25
