condominio;bloco;mesano;conta;descricao;tipoCalculo;valor
2;2;092023;1;Agua;2;700,04
2;2;092023;2;Luz;1;142,78
2;2;092023;4;Diarista;1;675
2;2;092023;5;Manutenção elevador;1;310
2;2;092023;8;Jardinagem;1;80
